users,adoption,p_gossip,mix_level,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.1,0.03,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,30.0,7.5,52.5,2.742133888010359,2.742133888010359,8.333333333333334,8.333333333333334,,,
12000,0.1,0.03,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,30.0,7.5,52.5,2.742133888010359,2.742133888010359,8.333333333333334,8.333333333333334,,,
12000,0.1,0.05,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,25.0,7.5,40.0,4.495211316917167,4.495211316917167,14.8,14.8,,,
12000,0.1,0.05,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,25.0,7.5,40.0,4.495211316917167,4.495211316917167,14.8,14.8,,,
12000,0.1,0.05,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,25.0,7.5,40.0,4.495211316917167,4.495211316917167,14.8,14.8,,,
12000,0.1,0.05,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,25.0,7.5,40.0,4.495211316917167,4.495211316917167,14.8,14.8,,,
12000,0.2,0.003,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,0.9333333333333333,37.5,16.25,88.75,0.5295557373839783,0.5295557373839783,4.0,4.0,,,
12000,0.2,0.003,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,0.9333333333333333,37.5,16.25,88.75,0.5295557373839783,0.5295557373839783,4.0,4.0,,,
12000,0.2,0.003,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,0.9333333333333333,37.5,16.25,88.75,0.5295557373839783,0.5295557373839783,4.0,4.0,,,
12000,0.2,0.003,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,0.9333333333333333,37.5,16.25,88.75,0.5295557373839783,0.5295557373839783,4.0,4.0,,,
12000,0.2,0.005,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,25.0,10.0,42.5,0.8734858611530247,0.8734858611530247,5.2,5.2,,,
12000,0.2,0.005,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,25.0,10.0,42.5,0.8734858611530247,0.8734858611530247,5.2,5.2,,,
12000,0.2,0.005,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,25.0,10.0,42.5,0.8734858611530247,0.8734858611530247,5.2,5.2,,,
12000,0.2,0.005,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,25.0,10.0,42.5,0.8734858611530247,0.8734858611530247,5.2,5.2,,,
12000,0.2,0.007,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,25.0,10.0,42.5,1.1727830766257388,1.1727830766257388,6.4,6.4,,,
12000,0.2,0.007,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,25.0,10.0,42.5,1.1727830766257388,1.1727830766257388,6.4,6.4,,,
12000,0.2,0.007,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,25.0,10.0,42.5,1.1727830766257388,1.1727830766257388,6.4,6.4,,,
12000,0.2,0.007,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,25.0,10.0,42.5,1.1727830766257388,1.1727830766257388,6.4,6.4,,,
12000,0.2,0.01,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,20.0,10.0,37.5,1.6798596334047984,1.6798596334047984,7.533333333333333,7.533333333333333,,,
12000,0.2,0.01,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,20.0,10.0,37.5,1.6798596334047984,1.6798596334047984,7.533333333333333,7.533333333333333,,,
12000,0.2,0.01,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,20.0,10.0,37.5,1.6798596334047984,1.6798596334047984,7.533333333333333,7.533333333333333,,,
12000,0.2,0.01,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,20.0,10.0,37.5,1.6798596334047984,1.6798596334047984,7.533333333333333,7.533333333333333,,,
12000,0.2,0.015,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,20.0,10.0,35.0,2.6227837572384165,2.6227837572384165,11.266666666666667,11.266666666666667,,,
12000,0.2,0.015,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,20.0,10.0,35.0,2.6227837572384165,2.6227837572384165,11.266666666666667,11.266666666666667,,,
12000,0.2,0.015,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,20.0,10.0,35.0,2.6227837572384165,2.6227837572384165,11.266666666666667,11.266666666666667,,,
12000,0.2,0.015,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,15,1.0,20.0,10.0,35.0,2.6227837572384165,2.6227837572384165,11.266666666666667,11.266666666666667,,,
12000,0.2,0.02,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,15,1.0,20.0,10.0,35.0,3.5304710667626322,3.5304710667626322,13.666666666666666,13.666666666666666,,,
12000,0.2,0.02,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,15,1.0,20.0,10.0,35.0,3.5304710667626322,3.5304710667626322,13.666666666666666,13.666666666666666,,,
12000,0.2,0.02,0.03,permanent_fork,sth_proof,0.05,0.03,0.03,0.0,15,1.0,20.0,10.0,35.0,3.5304710667626322,3.5304710667626322,13.666666666666666,13.666666666666666,,,
