tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,787
1,0,0,0,896,0,0,0,0,0,0,753
2,0,0,0,896,0,0,0,0,0,0,730
3,0,0,0,2688,0,0,0,0,0,0,697
4,0,0,0,0,0,0,0,0,0,0,692
5,0,0,0,0,0,0,0,0,0,0,805
6,0,0,0,0,0,0,0,0,0,0,655
7,0,0,0,0,0,0,0,0,0,0,657
8,0,0,0,0,0,0,0,0,0,0,670
9,0,0,0,0,0,0,0,0,0,0,791
10,0,0,0,0,0,0,0,0,0,0,707
11,0,0,0,8064,0,0,0,0,0,0,756
12,0,0,0,0,0,0,0,0,0,0,767
13,0,0,0,0,0,0,0,0,0,0,645
14,0,0,0,0,0,0,0,0,0,0,670
15,0,0,0,9856,0,0,0,0,0,0,548
16,0,0,0,0,0,0,0,0,0,0,623
17,0,0,0,0,0,0,0,0,0,0,804
18,0,0,0,896,0,0,0,0,0,0,649
19,0,0,0,896,0,0,0,0,0,0,682
20,0,0,0,0,0,0,0,0,0,0,748
21,0,0,0,0,0,0,0,0,0,0,660
22,0,0,0,896,0,0,0,0,0,0,658
23,0,0,0,0,0,0,0,0,0,0,622
24,0,0,0,896,0,0,0,0,0,0,628
25,0,0,0,11648,0,0,0,0,0,0,538
26,0,0,0,0,0,0,0,0,0,0,530
27,0,0,0,0,0,0,0,0,0,0,618
28,0,0,0,0,0,0,0,0,0,0,594
29,0,0,0,0,0,0,0,0,0,0,703
30,0,0,0,0,0,0,0,0,0,0,690
31,0,0,0,0,0,0,0,0,0,0,628
32,0,0,0,0,0,0,0,0,0,0,775
33,0,0,0,14336,0,0,0,0,0,0,725
34,0,0,0,0,0,0,0,0,0,0,606
35,0,0,0,0,0,0,0,0,0,0,794
36,1,1,1,10752,0,1,0,0,1,0,737
37,1,1,1,0,0,0,0,0,0,0,597
38,1,1,1,0,0,0,0,0,0,0,731
39,1,1,1,0,0,0,0,0,0,0,657
40,1,1,1,0,0,0,0,0,0,0,726
41,1,1,1,0,0,0,0,0,0,0,734
42,1,1,1,0,0,0,0,0,0,0,806
43,1,1,1,0,0,0,0,0,0,0,845
44,1,1,1,896,0,0,0,0,0,0,926
45,1,1,1,0,0,0,0,0,0,0,623
46,1,1,1,0,0,0,0,0,0,0,950
47,1,1,1,7168,0,0,0,0,0,0,920
48,1,1,1,0,0,0,0,0,0,0,892
49,1,1,1,0,0,0,0,0,0,0,1177
50,1,1,1,0,0,0,0,0,0,0,904
51,1,1,1,0,0,0,0,0,0,0,1190
52,2,2,2,12544,0,1,0,0,1,0,1013
53,2,2,2,0,0,0,0,0,0,0,1364
54,2,2,2,0,0,0,0,0,0,0,1133
55,3,3,3,896,0,1,0,0,1,0,1048
56,3,3,3,896,0,0,0,0,0,0,1071
57,3,3,3,0,0,0,0,0,0,0,1149
58,3,3,3,0,0,0,0,0,0,0,1140
59,3,3,3,0,0,0,0,0,0,0,1242
60,3,3,3,0,0,0,0,0,0,0,1362
61,3,3,3,0,0,0,0,0,0,0,1191
62,3,3,3,0,0,0,0,0,0,0,1226
63,3,3,3,0,0,0,0,0,0,0,1322
64,3,3,3,0,0,0,0,0,0,0,1388
65,3,3,3,896,0,0,0,0,0,0,1376
66,3,3,3,0,0,0,0,0,0,0,1533
67,4,4,4,1792,0,1,0,0,1,0,1471
68,4,4,4,0,0,0,0,0,0,0,1583
69,4,4,4,896,0,0,0,0,0,0,1478
70,4,4,4,10752,0,0,0,0,0,0,1609
71,4,4,4,0,0,0,0,0,0,0,1877
