users,adoption,p_gossip,mix_level,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
8000,0.1,0.003,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.5956563949584961,0.0,0.0,0.6666666666666666,102.5,102.5,,,,,36804.5,,,0.27870728790157195,0.27870728790157195,3.8333333333333335,3.8333333333333335
8000,0.1,0.005,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.7456823587417603,0.0,0.0,0.8333333333333334,125.0,125.0,,,,,41403.0,,,0.4255597620965578,0.4255597620965578,4.0,4.0
8000,0.1,0.01,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.654018759727478,0.0,0.0,0.8333333333333334,110.0,110.0,,,,,38585.0,,,0.6811586392303587,0.6811586392303587,4.166666666666667,4.166666666666667
8000,0.1,0.02,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.616529107093811,0.0,0.0,1.0,37.5,37.5,,,,,25812.0,,,1.427766607529991,1.427766607529991,6.833333333333333,6.833333333333333
8000,0.2,0.003,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6152503490447998,0.0,0.0,0.8333333333333334,65.0,65.0,,,,,31294.0,,,0.5716207548693351,0.5716207548693351,2.3333333333333335,2.3333333333333335
8000,0.2,0.005,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6175351142883301,0.0,0.0,0.8333333333333334,35.0,35.0,,,,,25199.0,,,1.0380609423014626,1.0380609423014626,3.5,3.5
8000,0.2,0.01,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6261786222457886,0.0,0.0,1.0,37.5,37.5,,,,,26005.5,,,1.9929676790374113,1.9929676790374113,8.833333333333334,8.833333333333334
8000,0.2,0.02,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.623713493347168,0.0,0.0,1.0,12.5,12.5,,,,,23448.5,,,3.97614959395146,3.97614959395146,16.0,16.0
8000,0.3,0.003,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6359646320343018,0.0,0.0,0.8333333333333334,60.0,60.0,,,,,30779.0,,,0.7413165174475265,0.7413165174475265,3.0,3.0
8000,0.3,0.005,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6376508474349976,0.0,0.0,0.8333333333333334,50.0,50.0,,,,,27998.0,,,1.4288081067798346,1.4288081067798346,7.333333333333333,7.333333333333333
8000,0.3,0.01,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6240155696868896,0.0,0.0,1.0,22.5,22.5,,,,,24560.0,,,3.095145486392265,3.095145486392265,11.333333333333334,11.333333333333334
8000,0.3,0.02,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6313031911849976,0.0,0.0,1.0,12.5,12.5,,,,,23251.5,,,5.987170100660503,5.987170100660503,22.5,22.5
8000,0.1,0.003,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6379823684692383,0.0,0.0,0.6666666666666666,102.5,102.5,,,,,36804.5,,,0.27870728790157195,0.27870728790157195,3.8333333333333335,3.8333333333333335
8000,0.1,0.005,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6362310647964478,0.0,0.0,0.8333333333333334,125.0,125.0,,,,,41403.0,,,0.4255597620965578,0.4255597620965578,4.0,4.0
8000,0.1,0.01,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6401659250259399,0.0,0.0,0.8333333333333334,110.0,110.0,,,,,38585.0,,,0.6811586392303587,0.6811586392303587,4.166666666666667,4.166666666666667
8000,0.1,0.02,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.638243556022644,0.0,0.0,1.0,37.5,37.5,,,,,25812.0,,,1.427766607529991,1.427766607529991,6.833333333333333,6.833333333333333
8000,0.2,0.003,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6665587425231934,0.0,0.0,0.8333333333333334,65.0,65.0,,,,,31294.0,,,0.5716207548693351,0.5716207548693351,2.3333333333333335,2.3333333333333335
8000,0.2,0.005,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6423449516296387,0.0,0.0,0.8333333333333334,35.0,35.0,,,,,25199.0,,,1.0380609423014626,1.0380609423014626,3.5,3.5
8000,0.2,0.01,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6470319032669067,0.0,0.0,1.0,37.5,37.5,,,,,26005.5,,,1.9929676790374113,1.9929676790374113,8.833333333333334,8.833333333333334
8000,0.2,0.02,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6555663347244263,0.0,0.0,1.0,12.5,12.5,,,,,23448.5,,,3.97614959395146,3.97614959395146,16.0,16.0
8000,0.3,0.003,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6658279895782471,0.0,0.0,0.8333333333333334,60.0,60.0,,,,,30779.0,,,0.7413165174475265,0.7413165174475265,3.0,3.0
8000,0.3,0.005,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6550147533416748,0.0,0.0,0.8333333333333334,50.0,50.0,,,,,27998.0,,,1.4288081067798346,1.4288081067798346,7.333333333333333,7.333333333333333
8000,0.3,0.01,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6619356870651245,0.0,0.0,1.0,22.5,22.5,,,,,24560.0,,,3.095145486392265,3.095145486392265,11.333333333333334,11.333333333333334
8000,0.3,0.02,0.02,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,6,0.6495074033737183,0.0,0.0,1.0,12.5,12.5,,,,,23251.5,,,5.987170100660503,5.987170100660503,22.5,22.5
8000,0.1,0.003,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6536948680877686,0.0,0.0,0.6666666666666666,102.5,102.5,,,,,36804.5,,,0.27870728790157195,0.27870728790157195,3.8333333333333335,3.8333333333333335
8000,0.1,0.005,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6542755365371704,0.0,0.0,0.8333333333333334,125.0,125.0,,,,,41403.0,,,0.4255597620965578,0.4255597620965578,4.0,4.0
8000,0.1,0.01,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6543065309524536,0.0,0.0,0.8333333333333334,110.0,110.0,,,,,38585.0,,,0.6811586392303587,0.6811586392303587,4.166666666666667,4.166666666666667
8000,0.1,0.02,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6587017774581909,0.0,0.0,1.0,37.5,37.5,,,,,25812.0,,,1.427766607529991,1.427766607529991,6.833333333333333,6.833333333333333
8000,0.2,0.003,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6511451005935669,0.0,0.0,0.8333333333333334,65.0,65.0,,,,,31294.0,,,0.5716207548693351,0.5716207548693351,2.3333333333333335,2.3333333333333335
8000,0.2,0.005,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6680164337158203,0.0,0.0,0.8333333333333334,35.0,35.0,,,,,25199.0,,,1.0380609423014626,1.0380609423014626,3.5,3.5
8000,0.2,0.01,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6492712497711182,0.0,0.0,1.0,37.5,37.5,,,,,26005.5,,,1.9929676790374113,1.9929676790374113,8.833333333333334,8.833333333333334
8000,0.2,0.02,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6607420444488525,0.0,0.0,1.0,12.5,12.5,,,,,23448.5,,,3.97614959395146,3.97614959395146,16.0,16.0
8000,0.3,0.003,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6626300811767578,0.0,0.0,0.8333333333333334,60.0,60.0,,,,,30779.0,,,0.7413165174475265,0.7413165174475265,3.0,3.0
8000,0.3,0.005,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6608917713165283,0.0,0.0,0.8333333333333334,50.0,50.0,,,,,27998.0,,,1.4288081067798346,1.4288081067798346,7.333333333333333,7.333333333333333
8000,0.3,0.01,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.6695793867111206,0.0,0.0,1.0,22.5,22.5,,,,,24560.0,,,3.095145486392265,3.095145486392265,11.333333333333334,11.333333333333334
8000,0.3,0.02,0.05,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,6,0.665398120880127,0.0,0.0,1.0,12.5,12.5,,,,,23251.5,,,5.987170100660503,5.987170100660503,22.5,22.5
