tick,user,event
36,6884,aware
36,6884,evidence
36,6884,detect
37,7111,aware
37,7111,evidence
37,7111,detect
38,712,aware
38,712,evidence
38,712,detect
41,5480,aware
41,5480,evidence
41,5480,detect
43,3509,aware
43,3509,evidence
43,3509,detect
43,2400,aware
43,2400,evidence
43,2400,detect
46,6195,aware
46,6195,evidence
46,6195,detect
48,7045,aware
48,7045,evidence
48,7045,detect
49,4629,aware
49,4629,evidence
49,4629,detect
52,3850,aware
52,3850,evidence
52,3850,detect
52,5670,aware
52,5670,evidence
52,5670,detect
52,1107,aware
52,1107,evidence
52,1107,detect
52,6487,aware
52,6487,evidence
52,6487,detect
52,2910,aware
52,2910,evidence
52,2910,detect
52,2933,aware
52,2933,evidence
52,2933,detect
54,7912,aware
54,7912,evidence
54,7912,detect
54,7003,aware
54,7003,evidence
54,7003,detect
55,3868,aware
55,3868,evidence
55,3868,detect
56,6292,aware
56,6292,evidence
56,6292,detect
58,6773,aware
58,6773,evidence
58,6773,detect
60,7389,aware
60,7389,evidence
60,7389,detect
63,4975,aware
63,4975,evidence
63,4975,detect
65,5455,aware
65,5455,evidence
65,5455,detect
65,519,aware
65,519,evidence
65,519,detect
65,1809,aware
65,1809,evidence
65,1809,detect
