tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,1792,0,0,0,0,0,0,698,8000
1,0,0,0,896,0,0,0,0,0,0,812,8000
2,0,0,0,0,0,0,0,0,0,0,762,8000
3,0,0,0,0,0,0,0,0,0,0,611,8000
4,0,0,0,9856,0,0,0,0,0,0,808,8000
5,0,0,0,0,0,0,0,0,0,0,687,8000
6,0,0,0,0,0,0,0,0,0,0,654,8000
7,0,0,0,0,0,0,0,0,0,0,601,8000
8,0,0,0,0,0,0,0,0,0,0,582,8000
9,0,0,0,896,0,0,0,0,0,0,539,8000
10,0,0,0,0,0,0,0,0,0,0,683,8000
11,0,0,0,0,0,0,0,0,0,0,643,8000
12,0,0,0,896,0,0,0,0,0,0,592,2
13,0,0,0,0,0,0,0,0,0,0,497,2
14,0,0,0,0,0,0,0,0,0,0,598,2
15,0,0,0,896,0,0,0,0,0,0,492,4
16,0,0,0,896,0,0,0,0,0,0,542,6
17,0,0,0,0,0,0,0,0,0,0,581,6
18,0,0,0,0,0,0,0,0,0,0,496,6
19,0,0,0,896,0,0,0,0,0,0,551,8
20,0,0,0,0,0,0,0,0,0,0,491,8
21,0,0,0,0,0,0,0,0,0,0,397,8
22,0,0,0,11648,0,0,0,0,0,0,550,21
23,0,0,0,896,0,0,0,0,0,0,511,23
24,0,0,0,0,0,0,0,0,0,0,500,0
25,0,0,0,0,0,0,0,0,0,0,561,0
26,0,0,0,0,0,0,0,0,0,0,655,0
27,0,0,0,0,0,0,0,0,0,0,532,0
28,0,0,0,10752,0,0,0,0,0,0,526,12
29,0,0,0,0,0,0,0,0,0,0,564,12
30,0,0,0,896,0,0,0,0,0,0,668,14
31,0,0,0,0,0,0,0,0,0,0,411,14
32,0,0,0,0,0,0,0,0,0,0,403,14
33,0,0,0,0,0,0,0,0,0,0,609,14
34,0,0,0,0,0,0,0,0,0,0,572,14
35,0,0,0,0,0,0,0,0,0,0,596,14
36,0,0,0,0,0,0,0,0,0,0,600,0
37,0,0,0,0,0,0,0,0,0,0,513,0
38,0,0,0,0,0,0,0,0,0,0,645,0
39,0,0,0,0,0,0,0,0,0,0,686,0
40,0,0,0,0,0,0,0,0,0,0,579,0
41,0,0,0,0,0,0,0,0,0,0,674,0
42,0,0,0,0,0,0,0,0,0,0,808,0
43,0,0,0,0,0,0,0,0,0,0,596,0
44,0,0,0,0,0,0,0,0,0,0,577,0
45,1,1,1,896,0,1,0,0,1,0,668,1
46,2,2,2,896,0,1,0,0,1,0,780,2
47,2,2,2,896,0,0,0,0,0,0,665,4
48,2,2,2,0,0,0,0,0,0,0,806,0
49,2,2,2,0,0,0,0,0,0,0,792,0
50,2,2,2,896,0,0,0,0,0,0,809,2
51,2,2,2,0,0,0,0,0,0,0,646,2
52,2,2,2,0,0,0,0,0,0,0,839,2
53,2,2,2,0,0,0,0,0,0,0,915,2
54,2,2,2,896,0,0,0,0,0,0,739,4
55,2,2,2,7168,0,0,0,0,0,0,670,12
56,2,2,2,896,0,0,0,0,0,0,791,14
57,2,2,2,0,0,0,0,0,0,0,893,14
58,2,2,2,0,0,0,0,0,0,0,928,14
59,3,3,3,18816,0,1,0,0,1,0,996,35
60,3,3,3,0,0,0,0,0,0,0,861,0
61,3,3,3,896,0,0,0,0,0,0,861,2
62,3,3,3,0,0,0,0,0,0,0,1059,2
63,3,3,3,11648,0,0,0,0,0,0,1237,16
64,3,3,3,896,0,0,0,0,0,0,1053,18
65,3,3,3,0,0,0,0,0,0,0,1202,18
66,3,3,3,0,0,0,0,0,0,0,1290,18
67,3,3,3,896,0,0,0,0,0,0,1192,20
68,3,3,3,0,0,0,0,0,0,0,1169,20
69,4,4,4,1792,0,1,0,0,1,0,1302,23
70,4,4,4,0,0,0,0,0,0,0,1242,23
71,4,4,4,0,0,0,0,0,0,0,1141,23
