adoption,p_g=0.005,p_g=0.02,p_g=0.1
0.05,48103.0,33732.0,31379.0
0.1,39384.0,36136.0,28163.0
0.2,43918.0,30671.0,27636.0
0.3,34690.0,28399.0,27398.0
0.6,30721.0,27474.0,26903.0
