adoption,p_g=0.005,p_g=0.02,p_g=0.1
0.05,12266.0,10530.5,8475.0
0.1,11565.0,11989.0,8771.0
0.2,9451.0,9518.0,8868.0
0.3,11547.0,9030.0,8031.0
0.6,10728.0,8963.0,7778.0
