tick,user,event
36,7984,aware
36,7984,evidence
36,7984,detect
37,4943,aware
37,4943,evidence
37,4943,detect
37,5033,aware
37,5033,evidence
37,5033,detect
38,520,aware
38,520,evidence
38,520,detect
38,1888,aware
38,1888,evidence
38,1888,detect
38,3830,aware
38,3830,evidence
38,3830,detect
38,1191,aware
38,1191,evidence
38,1191,detect
38,1420,aware
38,1420,evidence
38,1420,detect
38,657,aware
38,657,evidence
38,657,detect
38,11016,aware
38,11016,evidence
38,11016,detect
38,2094,aware
38,2094,evidence
38,2094,detect
38,1805,aware
38,1805,evidence
38,1805,detect
39,4725,aware
39,4725,evidence
39,4725,detect
42,11426,aware
42,11426,evidence
42,11426,detect
42,8434,aware
42,8434,evidence
42,8434,detect
43,1476,aware
43,1476,evidence
43,1476,detect
44,4783,aware
44,4783,evidence
44,4783,detect
44,2463,aware
44,2463,evidence
44,2463,detect
44,7081,aware
44,7081,evidence
44,7081,detect
44,3068,aware
44,3068,evidence
44,3068,detect
44,4813,aware
44,4813,evidence
44,4813,detect
44,5127,aware
44,5127,evidence
44,5127,detect
44,4485,aware
44,4485,evidence
44,4485,detect
45,4571,aware
45,4571,evidence
45,4571,detect
47,5935,aware
47,5935,evidence
47,5935,detect
49,7548,aware
49,7548,evidence
49,7548,detect
49,11704,aware
49,11704,evidence
49,11704,detect
51,6225,aware
51,6225,evidence
51,6225,detect
51,4026,aware
51,4026,evidence
51,4026,detect
52,11260,aware
52,11260,evidence
52,11260,detect
53,8281,aware
53,8281,evidence
53,8281,detect
55,380,aware
55,380,evidence
55,380,detect
55,4593,aware
55,4593,evidence
55,4593,detect
55,5577,aware
55,5577,evidence
55,5577,detect
55,10695,aware
55,10695,evidence
55,10695,detect
56,5931,aware
56,5931,evidence
56,5931,detect
57,3928,aware
57,3928,evidence
57,3928,detect
57,7947,aware
57,7947,evidence
57,7947,detect
57,396,aware
57,396,evidence
57,396,detect
57,4650,aware
57,4650,evidence
57,4650,detect
57,7065,aware
57,7065,evidence
57,7065,detect
57,11249,aware
57,11249,evidence
57,11249,detect
57,3275,aware
57,3275,evidence
57,3275,detect
57,9839,aware
57,9839,evidence
57,9839,detect
57,7792,aware
57,7792,evidence
57,7792,detect
57,7924,aware
57,7924,evidence
57,7924,detect
57,9613,aware
57,9613,evidence
57,9613,detect
57,1951,aware
57,1951,evidence
57,1951,detect
57,872,aware
57,872,evidence
57,872,detect
57,2705,aware
57,2705,evidence
57,2705,detect
58,4158,aware
58,4158,evidence
58,4158,detect
58,7570,aware
58,7570,evidence
58,7570,detect
58,1128,aware
58,1128,evidence
58,1128,detect
58,4256,aware
58,4256,evidence
58,4256,detect
58,7547,aware
58,7547,evidence
58,7547,detect
59,6699,aware
59,6699,evidence
59,6699,detect
60,4254,aware
60,4254,evidence
60,4254,detect
60,7786,aware
60,7786,evidence
60,7786,detect
60,6346,aware
60,6346,evidence
60,6346,detect
61,4136,aware
61,4136,evidence
61,4136,detect
61,4966,aware
61,4966,evidence
61,4966,detect
61,5639,aware
61,5639,evidence
61,5639,detect
61,782,aware
61,782,evidence
61,782,detect
61,2983,aware
61,2983,evidence
61,2983,detect
61,11712,aware
61,11712,evidence
61,11712,detect
61,5981,aware
61,5981,evidence
61,5981,detect
61,6238,aware
61,6238,evidence
61,6238,detect
62,11563,aware
62,11563,evidence
62,11563,detect
63,5464,aware
63,5464,evidence
63,5464,detect
63,519,aware
63,519,evidence
63,519,detect
63,5350,aware
63,5350,evidence
63,5350,detect
63,9424,aware
63,9424,evidence
63,9424,detect
64,7913,aware
64,7913,evidence
64,7913,detect
64,4960,aware
64,4960,evidence
64,4960,detect
64,1280,aware
64,1280,evidence
64,1280,detect
64,4425,aware
64,4425,evidence
64,4425,detect
64,4486,aware
64,4486,evidence
64,4486,detect
65,10311,aware
65,10311,evidence
65,10311,detect
66,9513,aware
66,9513,evidence
66,9513,detect
66,1233,aware
66,1233,evidence
66,1233,detect
66,3577,aware
66,3577,evidence
66,3577,detect
68,2518,aware
68,2518,evidence
68,2518,detect
68,10714,aware
68,10714,evidence
68,10714,detect
69,9843,aware
69,9843,evidence
69,9843,detect
69,3564,aware
69,3564,evidence
69,3564,detect
69,4793,aware
69,4793,evidence
69,4793,detect
70,2353,aware
70,2353,evidence
70,2353,detect
70,768,aware
70,768,evidence
70,768,detect
70,11771,aware
70,11771,evidence
70,11771,detect
70,3156,aware
70,3156,evidence
70,3156,detect
