users,wall_s,total_deliveries,total_sends,groups
500,0.4520885944366455,51,,2000
1000,0.6208524703979492,87,,4000
2000,0.8685693740844727,185,,8000
5000,1.6903505325317383,488,,20000
8000,1.810410737991333,717,,20000
12000,2.137208938598633,1140,,20000
