users,adoption,avg_group_size,msg_rate_group,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.1,8,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.7584855556488037,0.0,0.0,1.0,0.0,0.0,,,,,8628.0,,,17.740824640712844,17.740824640712844,27.133333333333333,27.133333333333333
12000,0.1,8,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8007693290710449,0.0,0.0,1.0,5.0,5.0,,,,,15533.0,,,18.107782244738402,18.107782244738402,45.4,45.4
12000,0.1,8,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8307843208312988,0.0,0.0,1.0,5.0,5.0,,,,,22166.0,,,18.137203780233175,18.137203780233175,60.666666666666664,60.666666666666664
12000,0.1,8,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8456058502197266,0.0,0.0,1.0,0.0,0.0,,,,,27777.0,,,17.475020546469008,17.475020546469008,81.93333333333334,81.93333333333334
12000,0.1,16,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8348734378814697,0.0,0.0,1.0,5.0,5.0,,,,,8797.0,,,17.627747871848687,17.627747871848687,22.933333333333334,22.933333333333334
12000,0.1,16,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.847724437713623,0.0,0.0,1.0,5.0,5.0,,,,,28043.0,,,17.4124153588106,17.4124153588106,74.06666666666666,74.06666666666666
12000,0.1,16,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8759472370147705,0.0,0.0,1.0,0.0,0.0,,,,,48027.0,,,17.368870443825294,17.368870443825294,119.33333333333333,119.33333333333333
12000,0.1,16,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9069623947143555,0.0,0.0,1.0,0.0,0.0,,,,,66262.0,,,17.323545061924086,17.323545061924086,183.2,183.2
12000,0.1,32,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.815568208694458,0.0,0.0,1.0,5.0,5.0,,,,,8707.0,,,17.669077524266793,17.669077524266793,23.933333333333334,23.933333333333334
12000,0.1,32,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8752696514129639,0.0,0.0,1.0,0.0,0.0,,,,,59312.0,,,17.519280974174634,17.519280974174634,158.46666666666667,158.46666666666667
12000,0.1,32,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9393079280853271,0.0,0.0,1.0,0.0,0.0,,,,,107729.0,,,18.04859280114073,18.04859280114073,297.1333333333333,297.1333333333333
12000,0.1,32,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9972553253173828,0.0,0.0,1.0,0.0,0.0,,,,,158134.0,,,17.6242841031016,17.6242841031016,469.93333333333334,469.93333333333334
12000,0.1,64,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.833033561706543,0.0,0.0,1.0,5.0,5.0,,,,,8772.0,,,17.47283778601347,17.47283778601347,25.6,25.6
12000,0.1,64,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9287879467010498,0.0,0.0,1.0,5.0,5.0,,,,,119527.0,,,18.297010541949366,18.297010541949366,354.73333333333335,354.73333333333335
12000,0.1,64,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.047025442123413,0.0,0.0,1.0,0.0,0.0,,,,,229783.0,,,17.693903031121934,17.693903031121934,749.1333333333333,749.1333333333333
12000,0.1,64,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.1429150104522705,0.0,0.0,1.0,0.0,0.0,,,,,335676.0,,,17.573171753803383,17.573171753803383,985.0666666666667,985.0666666666667
12000,0.1,96,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8390452861785889,0.0,0.0,1.0,5.0,5.0,,,,,8816.0,,,17.65484425921293,17.65484425921293,24.333333333333332,24.333333333333332
12000,0.1,96,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9854123592376709,0.0,0.0,1.0,0.0,0.0,,,,,177088.0,,,18.07921315751192,18.07921315751192,557.8666666666667,557.8666666666667
12000,0.1,96,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.1242585182189941,0.0,0.0,1.0,0.0,0.0,175.0,,175.0,,342957.0,,,17.188600302770514,17.188600302770514,986.8,986.8
12000,0.1,96,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.2706942558288574,0.0,0.0,1.0,0.0,0.0,152.5,,152.5,,507235.0,,,17.407360289864794,17.407360289864794,1441.8,1441.8
12000,0.2,8,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8686935901641846,0.0,0.0,1.0,5.0,5.0,,,,,8792.0,,,35.636966653328685,35.636966653328685,50.6,50.6
12000,0.2,8,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8639917373657227,0.0,0.0,1.0,0.0,0.0,,,,,15150.0,,,36.30463058060306,36.30463058060306,80.4,80.4
12000,0.2,8,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8931186199188232,0.0,0.0,1.0,0.0,0.0,,,,,21570.0,,,36.56821351634752,36.56821351634752,130.8,130.8
12000,0.2,8,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.923616886138916,0.0,0.0,1.0,0.0,0.0,,,,,28056.0,,,36.477761622596155,36.477761622596155,159.06666666666666,159.06666666666666
12000,0.2,16,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8940203189849854,0.0,0.0,1.0,0.0,0.0,,,,,8573.0,,,35.342825691773314,35.342825691773314,50.666666666666664,50.666666666666664
12000,0.2,16,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9202501773834229,0.0,0.0,1.0,0.0,0.0,,,,,28139.0,,,34.79572056700509,34.79572056700509,136.93333333333334,136.93333333333334
12000,0.2,16,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9402568340301514,0.0,0.0,1.0,0.0,0.0,,,,,46856.0,,,34.88334337530062,34.88334337530062,258.3333333333333,258.3333333333333
12000,0.2,16,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9713027477264404,0.0,0.0,1.0,0.0,0.0,,,,,66039.0,,,36.255772634729546,36.255772634729546,376.6,376.6
12000,0.2,32,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.870542049407959,0.0,0.0,1.0,0.0,0.0,,,,,8687.0,,,36.18602432703353,36.18602432703353,50.266666666666666,50.266666666666666
12000,0.2,32,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9334042072296143,0.0,0.0,1.0,0.0,0.0,,,,,58454.0,,,35.61753825586145,35.61753825586145,336.93333333333334,336.93333333333334
12000,0.2,32,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.010178565979004,0.0,0.0,1.0,0.0,0.0,,,,,108861.0,,,36.00388183917405,36.00388183917405,690.4666666666667,690.4666666666667
12000,0.2,32,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0705337524414062,0.0,0.0,1.0,0.0,0.0,,,,,157050.0,,,36.0645130268661,36.0645130268661,909.2,909.2
12000,0.2,64,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8696174621582031,0.0,0.0,1.0,5.0,5.0,,,,,8747.0,,,35.82698364032328,35.82698364032328,47.86666666666667,47.86666666666667
12000,0.2,64,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.9883325099945068,0.0,0.0,1.0,0.0,0.0,,,,,118101.0,,,36.31827028584017,36.31827028584017,686.1333333333333,686.1333333333333
12000,0.2,64,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.111057996749878,0.0,0.0,1.0,0.0,0.0,170.0,,170.0,,228110.0,,,36.210284513217196,36.210284513217196,1388.9333333333334,1388.9333333333334
12000,0.2,64,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.2262613773345947,0.0,0.0,1.0,0.0,0.0,160.0,,160.0,,339621.0,,,35.5908580824774,35.5908580824774,2008.2,2008.2
12000,0.2,96,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8743648529052734,0.0,0.0,1.0,0.0,0.0,,,,,8658.0,,,35.482794475663134,35.482794475663134,47.6,47.6
12000,0.2,96,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0407848358154297,0.0,0.0,1.0,0.0,0.0,,,,,175706.0,,,33.67982716945584,33.67982716945584,991.0,991.0
12000,0.2,96,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.218092918395996,0.0,0.0,1.0,0.0,0.0,142.5,,142.5,,341854.0,,,35.42421676188227,35.42421676188227,1840.4666666666667,1840.4666666666667
12000,0.2,96,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.3735768795013428,0.0,0.0,1.0,0.0,0.0,120.0,,120.0,,507323.0,,,36.11202512164341,36.11202512164341,3024.6,3024.6
12000,0.3,8,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,0.8935887813568115,0.0,0.0,1.0,0.0,0.0,,,,,8557.0,,,54.217307573818495,54.217307573818495,76.2,76.2
