users,adoption,avg_group_size,msg_rate_group,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.2,16,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,36.255772634729546,36.255772634729546,376.6,376.6,,,
12000,0.2,32,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,5.0,36.18602432703353,36.18602432703353,50.266666666666666,50.266666666666666,,,
12000,0.2,32,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,35.61753825586145,35.61753825586145,336.93333333333334,336.93333333333334,,,
12000,0.2,32,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,36.00388183917405,36.00388183917405,690.4666666666667,690.4666666666667,,,
12000,0.2,32,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,36.0645130268661,36.0645130268661,909.2,909.2,,,
12000,0.2,64,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,5.0,0.0,5.0,35.82698364032328,35.82698364032328,47.86666666666667,47.86666666666667,,,
12000,0.2,64,0.04,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,36.31827028584017,36.31827028584017,686.1333333333333,686.1333333333333,,,
12000,0.2,64,0.08,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,36.210284513217196,36.210284513217196,1388.9333333333334,1388.9333333333334,,,
12000,0.2,64,0.12,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,0.0,35.5908580824774,35.5908580824774,2008.2,2008.2,,,
12000,0.2,96,0.0,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,800,15,1.0,0.0,0.0,5.0,35.482794475663134,35.482794475663134,47.6,47.6,,,
