tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,896,0,0,0,0,0,0,931,12000
1,0,0,0,0,0,0,0,0,0,0,889,12000
2,0,0,0,15232,0,0,0,0,0,0,755,12000
3,0,0,0,1792,0,0,0,0,0,0,843,12000
4,0,0,0,12544,0,0,0,0,0,0,721,12000
5,0,0,0,896,0,0,0,0,0,0,732,12000
6,0,0,0,4480,0,0,0,0,0,0,691,12000
7,0,0,0,14336,0,0,0,0,0,0,598,12000
8,0,0,0,17024,0,0,0,0,0,0,684,12000
9,0,0,0,0,0,0,0,0,0,0,673,12000
10,0,0,0,896,0,0,0,0,0,0,479,12000
11,0,0,0,6272,0,0,0,0,0,0,701,12000
12,0,0,0,25984,0,0,0,0,0,0,789,29
13,0,0,0,8960,0,0,0,0,0,0,659,42
14,0,0,0,2688,0,0,0,0,0,0,766,47
15,0,0,0,896,0,0,0,0,0,0,678,49
16,0,0,0,3584,0,0,0,0,0,0,598,57
17,0,0,0,1792,0,0,0,0,0,0,507,60
18,0,0,0,1792,0,0,0,0,0,0,609,64
19,0,0,0,2688,0,0,0,0,0,0,530,70
20,0,0,0,0,0,0,0,0,0,0,527,70
21,0,0,0,8064,0,0,0,0,0,0,586,80
22,0,0,0,7168,0,0,0,0,0,0,616,93
23,0,0,0,11648,0,0,0,0,0,0,669,109
24,0,0,0,11648,0,0,0,0,0,0,718,14
25,0,0,0,0,0,0,0,0,0,0,540,14
26,0,0,0,13440,0,0,0,0,0,0,669,29
27,0,0,0,3584,0,0,0,0,0,0,667,37
28,0,0,0,4480,0,0,0,0,0,0,650,45
29,0,0,0,7168,0,0,0,0,0,0,606,54
30,0,0,0,2688,0,0,0,0,0,0,577,60
31,0,0,0,896,0,0,0,0,0,0,599,61
32,0,0,0,1792,0,0,0,0,0,0,575,65
33,0,0,0,11648,0,0,0,0,0,0,671,78
34,0,0,0,0,0,0,0,0,0,0,702,78
35,0,0,0,1792,0,0,0,0,0,0,672,82
36,0,0,0,3584,0,0,0,0,0,0,596,8
37,1,1,1,4480,0,1,0,0,1,0,722,14
38,1,1,1,3584,0,0,0,0,0,0,720,21
39,3,3,3,1792,0,2,0,0,2,0,730,23
40,3,3,3,3584,0,0,0,0,0,0,693,30
41,3,3,3,1792,0,0,0,0,0,0,639,34
42,3,3,3,13440,0,0,0,0,0,0,781,53
43,4,4,4,4480,0,1,0,0,1,0,754,62
44,6,6,6,13440,0,2,0,0,2,0,668,80
45,6,6,6,11648,0,0,0,0,0,0,696,95
46,8,8,8,17920,0,2,0,0,2,0,829,114
47,8,8,8,4480,0,0,0,0,0,0,902,123
48,9,9,9,15232,0,2,0,0,2,0,844,17
49,9,9,9,2688,0,0,0,0,0,0,855,23
50,9,9,9,1792,0,0,0,0,0,0,1046,27
51,10,10,10,13440,0,1,0,0,1,0,1039,44
52,11,11,11,15232,0,2,0,0,2,0,905,52
53,13,13,13,15232,0,2,0,0,2,0,1010,74
54,13,13,13,10752,0,0,0,0,0,0,1084,88
55,13,13,13,18816,0,0,0,0,0,0,1148,111
56,14,14,14,7168,0,1,0,0,1,0,1057,123
57,14,14,14,3584,0,0,0,0,0,0,1054,130
58,15,15,15,14336,0,1,0,0,1,0,1276,146
59,16,16,16,12544,0,1,0,0,1,0,1230,161
60,17,17,17,12544,0,1,0,0,1,0,1398,15
61,17,17,17,3584,0,0,0,0,0,0,1253,23
62,17,17,17,4480,0,0,0,0,0,0,1256,33
63,17,17,17,6272,0,0,0,0,0,0,1358,42
64,18,18,18,26880,0,1,0,0,1,0,1418,75
65,19,19,19,8064,0,1,0,0,1,0,1409,92
66,19,19,19,27776,0,0,0,0,0,0,1398,129
67,20,20,20,25984,0,1,0,0,1,0,1640,162
68,20,20,20,26880,0,1,0,0,1,0,1725,185
69,21,21,21,20608,0,1,0,0,1,0,1546,212
70,23,23,23,16128,0,2,0,0,2,0,1806,233
71,23,23,23,5376,0,0,0,0,0,0,1868,242
