Response ID,Date submitted,Last page,Start language,Seed,Date started,Date last action,How many contacts do you have in your phone?Please round to the nearest multiple of 20. ,What is your most-used messenger?,How many people (1-1 chats) did you write to/get messages from on your main messenger in the past day?,How many people did you write to/get messages from in the past week?,During which hours are you most active on messaging apps? (Select all that apply) [6 AM – 12 PM],During which hours are you most active on messaging apps? (Select all that apply) [12 PM – 6 PM],During which hours are you most active on messaging apps? (Select all that apply) [6 PM – 12 AM],During which hours are you most active on messaging apps? (Select all that apply) [12 AM – 6 AM],Which of the following best describes how you use your main messaging app?(Select one),Do you use multiple messaging apps to communicate with the same contacts?,"Do you use your messaging app on multiple devices (e.g., phone and tablet)?",When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in that chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,Please look at the first group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the second group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the third group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the fourth group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the fifth group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,"Have you ever noticed a notification about a contact's security code or key changing? [Yes, multiple times]","Have you ever noticed a notification about a contact's security code or key changing? [Yes, once or twice]",Have you ever noticed a notification about a contact's security code or key changing? [No],Have you ever noticed a notification about a contact's security code or key changing? [Not sure],What do you usually do when you see a key change notification? (Select all that apply) [Ignore it],What do you usually do when you see a key change notification? (Select all that apply) [Ask the contact about it],What do you usually do when you see a key change notification? (Select all that apply) [Manually verify the new key],What do you usually do when you see a key change notification? (Select all that apply) [Stop messaging until clarified],What do you usually do when you see a key change notification? (Select all that apply) [I don't remember seeing such notifications],How often do you change devices or reinstall your messaging app?,Do you know the meaning of the key change notification?,Please give your age range
46,,2,en,1059289499,2025-05-21 09:40:47,2025-05-21 09:44:01,160,Whatsapp,2,6,No,Yes,No,No,I check in a few times a day and reply to messages in batches,Occasionally,"Yes, frequently", 08:45:00, 09:30:00, 23:45:00, 23:45:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
48,,4,en,2027687028,2025-05-21 12:14:26,2025-05-21 12:27:45,200,Signal,7,12,No,No,Yes,Yes,I check in a few times a day and reply to messages in batches,Rarely,Occasionally, 09:30:00, 07:45:00, 23:45:00, 21:30:00,0,No, 15:30:00, 15:45:00, 15:30:00, 15:45:00,0,No, 09:30:00, 09:30:00, 09:30:00, 09:30:00,0,No,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
49,,2,en,323684970,2025-05-21 14:20:24,2025-05-21 14:24:28,80,Whatsapp,3,6,No,No,Yes,No,I check in a few times a day and reply to messages in batches,Never,Occasionally, 08:15:00, 16:30:00, 23:45:00, 22:00:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
52,,0,en,2005593671,2025-05-21 15:15:04,2025-05-21 15:15:08,,,,,No,No,No,No,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
53,,2,en,467613161,2025-05-21 15:30:10,2025-05-21 15:39:26,320,Threema,9,21,Yes,Yes,Yes,No,I'm messaging someone almost constantly throughout the day,Never,Never, 06:30:00, 06:30:00, 21:00:00, 21:00:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
54,,6,en,309349695,2025-05-21 16:07:37,2025-05-21 16:15:35,1460,Signal,20,80,Yes,Yes,Yes,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently", 06:15:00, 08:15:00, 23:45:00, 22:15:00,~15,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
55,2025-05-21 16:43:21,13,en,135100766,2025-05-21 16:31:08,2025-05-21 16:43:21,120,Signal,5,10,Yes,Yes,No,No,I'm messaging someone almost constantly throughout the day,Rarely,"Yes, frequently", 07:00:00, 07:15:00, 22:00:00, 22:30:00,2,Yes, 09:15:00, 09:30:00, 22:45:00, 21:15:00,0,No, 19:30:00, 18:00:00, 19:30:00, 20:15:00,0,No, 15:45:00, 11:45:00, 15:45:00, 15:45:00,,Yes, 09:30:00, 09:45:00, 10:00:00, 09:45:00,0,No,10,longer,No,5,less than six months,Yes,5,less than six months,Yes,5,longer,No,5,less than a week,Yes,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,No,20-29
56,2025-05-21 18:27:03,13,en,1508708887,2025-05-21 18:13:17,2025-05-21 18:27:03,2740,Signal,14,22,Yes,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently", 07:45:00, 07:30:00, 21:45:00, 21:45:00,16,Yes, 07:00:00, 07:15:00, 16:30:00, 16:30:00,0,No, 11:00:00, 11:30:00, 12:30:00, 12:00:00,0,No, 12:30:00, 11:30:00, 12:30:00, 11:30:00,1,Yes, 11:45:00, 11:45:00, 11:45:00, 11:45:00,1,No,35,longer,Yes,2,longer,Yes,3,longer,No,30,longer,Yes,4,longer,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Rarely or never,Yes,30-39
58,,8,en,1201664676,2025-05-21 18:44:10,2025-05-21 18:53:10,780,Signal,3,15,Yes,No,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently", 08:30:00, 08:00:00, 16:00:00, 15:30:00,0,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,longer,No,,longer,Yes,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
59,,2,en,1432592830,2025-05-21 19:53:41,2025-05-21 19:56:19,140,Whatsapp,5,20,No,Yes,No,No,I'm messaging someone almost constantly throughout the day,Rarely,Never, 12:00:00, 13:00:00, 20:00:00, 20:15:00,1,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
60,2025-05-22 11:55:58,13,en,1832891738,2025-05-22 11:49:10,2025-05-22 11:55:58,100,Signal,0,3,Yes,No,No,No,I only respond when someone messages me,Never,"Yes, frequently", 04:45:00,, 20:00:00,,0,No, 05:00:00,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,5,longer,No,,,N/A,,,N/A,,,N/A,,,N/A,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,No,
61,,3,en,1154799650,2025-05-23 13:57:45,2025-05-23 14:00:57,260,Whatsapp,4,6,No,Yes,No,No,I check in a few times a day and reply to messages in batches,Occasionally,Never, 14:00:00, 15:00:00, 23:45:00, 22:45:00,0,No, 14:00:00, 15:00:00, 23:45:00, 22:45:00,0,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
62,,2,en,900480756,2025-05-23 13:58:33,2025-05-23 14:00:46,140,Whatsapp,4,10,No,Yes,No,No,I check in a few times a day and reply to messages in batches,"Yes, frequently",Occasionally, 06:00:00, 10:00:00, 14:00:00, 00:30:00,3,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
63,2025-05-23 14:04:59,13,en,1028876174,2025-05-23 13:58:44,2025-05-23 14:04:59,160,Other,3,5,No,Yes,Yes,No,I'm messaging someone almost constantly throughout the day,Occasionally,"Yes, frequently", 07:30:00, 08:00:00, 23:45:00, 23:45:00,10,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,5,less than three months,Yes,,,N/A,,,N/A,,,N/A,,,N/A,No,Yes,No,No,Yes,No,No,No,No,Rarely or never,Yes,20-29
64,,2,en,870023610,2025-05-23 13:59:55,2025-05-23 14:08:24,80,Whatsapp,5,12,Yes,No,No,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently", 02:00:00, 02:15:00, 23:15:00, 23:00:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
66,2025-05-23 14:57:08,13,en,1908224510,2025-05-23 14:34:18,2025-05-23 14:57:08,420,Whatsapp,8,25,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently", 14:45:00, 08:15:00, 21:45:00, 23:30:00,3,Yes, 09:45:00, 12:45:00, 18:45:00, 20:00:00,0,Yes, 09:45:00, 14:45:00, 15:45:00, 16:15:00,0,No, 14:45:00, 14:45:00, 16:00:00, 16:15:00,0,No, 14:45:00, 15:00:00, 15:45:00, 15:45:00,0,No,30,less than a year,Yes,105,longer,No,5,less than a week,Yes,190,longer,No,5,longer,No,No,No,No,Yes,No,No,No,No,Yes,Rarely or never,No,20-29
67,2025-05-23 15:05:11,13,en,1004484078,2025-05-23 14:49:34,2025-05-23 15:05:11,280,Whatsapp,10,22,No,No,Yes,No,I only respond when someone messages me,Occasionally,Rarely, 08:00:00, 09:00:00, 23:15:00, 21:30:00,5,No, 20:30:00, 21:30:00, 20:30:00, 21:30:00,0,Yes, 21:00:00, 22:00:00, 21:00:00, 22:00:00,0,No, 23:00:00, 23:00:00, 23:45:00, 23:45:00,0,No, 14:00:00, 14:15:00, 14:30:00, 14:30:00,0,No,5,less than a week,Yes,10,longer,Yes,5,less than three months,No,5,less than three months,No,10,longer,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Rarely or never,No,20-29
69,,,en,415660067,2025-05-23 23:32:42,2025-05-23 23:32:42,,,,,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
70,2025-05-23 23:47:53,13,en,1066232725,2025-05-23 23:38:51,2025-05-23 23:47:53,160,Signal,0,1,No,Yes,Yes,No,I only respond when someone messages me,Occasionally,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,5,less than three months,Yes,30,less than a year,No,5,longer,No,5,longer,No,,,N/A,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,No,20-29
71,,2,en,1149850267,2025-05-24 15:48:19,2025-05-24 15:53:19,260,Whatsapp,3,15,No,No,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,Rarely, 00:15:00, 00:15:00, 21:00:00, 23:45:00,1,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
72,,6,en,510853614,2025-05-24 15:55:07,2025-05-24 15:59:53,260,Whatsapp,3,4,Yes,No,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,Rarely,,,,,,N/A,,,,,0,No, 12:15:00, 09:00:00, 12:15:00, 12:15:00,0,Yes,,,,,0,Yes,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
73,2025-05-24 16:12:34,13,en,2015501770,2025-05-24 16:01:26,2025-05-24 16:12:34,260,Whatsapp,3,6,Yes,No,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,Never, 00:15:00, 00:15:00, 21:00:00, 23:45:00,1,Yes, 12:15:00, 09:00:00, 12:15:00, 12:15:00,0,Yes,,,,,0,Yes,,,,,0,No,,,,,,N/A,15,longer,Yes,5,less than a year,Yes,15,less than two years,Yes,5,less than two years,Yes,5,longer,No,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,Yes,20-29
75,,3,en,1848574066,2025-05-26 14:13:20,2025-05-26 14:17:02,133,Whatsapp,4,16,Yes,No,No,Yes,I check in a few times a day and reply to messages in batches,"Yes, frequently",Never, 08:15:00, 07:45:00, 23:30:00, 00:45:00,6,Yes, 08:15:00, 09:15:00, 23:30:00, 00:30:00,6,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
76,,2,en,1595775589,2025-05-26 14:13:33,2025-05-26 14:15:38,150,Whatsapp,5,7,Yes,No,No,No,I only respond when someone messages me,"Yes, frequently",Occasionally, 06:30:00, 08:15:00, 00:15:00, 23:30:00,2,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
77,,1,en,1944679716,2025-05-28 11:36:38,2025-05-28 11:37:43,20,Signal,2,10,Yes,Yes,Yes,Yes,I'm messaging someone almost constantly throughout the day,Never,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
78,2025-05-28 11:49:58,13,en,847475806,2025-05-28 11:38:34,2025-05-28 11:49:58,625,Whatsapp,6,34,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently", 08:45:00, 10:30:00, 23:45:00, 23:45:00,0,Yes, 11:45:00, 12:00:00, 22:45:00, 23:15:00,0,Yes, 11:45:00, 10:45:00, 11:45:00, 09:45:00,0,Yes,,,,,,N/A,,,,,,N/A,5,less than a year,Yes,5,longer,No,15,less than three months,Yes,20,longer,No,10,less than two years,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Rarely or never,No,20-29
79,,2,en,1903611332,2025-05-28 11:42:40,2025-05-28 11:46:29,60,Whatsapp,3,6,No,No,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently", 09:00:00, 10:30:00, 22:45:00, 22:45:00,0,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
81,,1,en,1955485921,2025-05-28 12:14:59,2025-05-28 12:17:29,560,Whatsapp,0,11,No,Yes,No,Yes,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
83,2025-05-28 12:50:01,13,en,646442558,2025-05-28 12:41:02,2025-05-28 12:50:01,80,Telegram,3,6,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,Rarely, 08:45:00, 09:00:00, 19:45:00, 19:45:00,0,No, 10:15:00, 10:30:00, 10:30:00, 10:30:00,0,No, 14:30:00, 14:30:00, 14:30:00, 14:30:00,2,Yes, 15:45:00, 16:45:00, 17:00:00, 17:00:00,0,No, 18:45:00, 18:45:00, 18:45:00, 18:45:00,0,No,5,longer,No,5,longer,No,20,less than two years,No,5,longer,No,75,longer,No,No,Yes,Yes,No,No,No,No,No,Yes,Rarely or never,Yes,20-29
84,2025-05-28 13:27:42,13,en,1144078253,2025-05-28 13:10:43,2025-05-28 13:27:42,260,Whatsapp,10,24,No,Yes,No,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently", 09:00:00, 08:45:00, 22:30:00, 23:15:00,2,Yes, 17:45:00, 14:30:00, 22:00:00, 23:00:00,0,Yes,, 21:15:00,, 21:15:00,2,Yes, 09:00:00, 09:00:00, 15:15:00, 15:15:00,0,Yes, 14:15:00, 14:15:00, 15:00:00, 15:00:00,2,Yes,45,less than two years,Yes,10,less than two years,Yes,15,longer,Yes,10,longer,Yes,10,less than a year,No,No,No,No,Yes,Yes,No,No,No,No,Rarely or never,Yes,20-29
85,2025-05-28 13:34:57,13,en,2042093058,2025-05-28 13:24:35,2025-05-28 13:34:57,100,Whatsapp,4,10,No,Yes,No,No,I only respond when someone messages me,"Yes, frequently","Yes, frequently", 08:30:00, 08:00:00, 23:30:00, 23:30:00,0,Yes, 09:00:00, 09:15:00, 22:00:00, 22:15:00,0,Yes, 11:00:00, 12:00:00, 17:00:00, 17:15:00,0,No, 13:30:00, 14:00:00, 20:00:00, 20:15:00,1,No, 15:00:00, 14:00:00, 23:30:00, 23:45:00,1,No,3,longer,Yes,3,longer,No,4,longer,Yes,,,N/A,,,N/A,No,No,Yes,No,No,No,No,No,Yes,Rarely or never,No,20-29
86,,12,en,1473128884,2025-05-28 13:24:36,2025-05-28 13:34:08,100,Whatsapp,20,30,No,Yes,No,No,I only respond when someone messages me,Rarely,Occasionally, 08:30:00, 08:45:00, 23:30:00, 23:45:00,40,Yes, 11:45:00, 09:30:00, 20:30:00, 20:45:00,2,No, 13:30:00, 16:30:00, 18:30:00, 20:45:00,0,No, 10:00:00, 10:15:00, 22:45:00, 23:00:00,0,Yes, 13:00:00, 13:15:00, 19:45:00, 18:00:00,0,Yes,5,less than a year,Yes,5,longer,Yes,5,less than a year,Yes,,,N/A,,,N/A,No,No,No,Yes,Yes,No,No,No,No,Once or twice a year,Yes,
87,2025-05-28 14:25:38,13,en,1584463133,2025-05-28 14:04:53,2025-05-28 14:25:38,640,Whatsapp,17,34,No,Yes,No,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently", 07:00:00, 06:45:00, 19:30:00, 19:30:00,0,No, 12:00:00, 12:00:00, 12:00:00, 12:00:00,0,Yes, 09:30:00, 09:30:00, 09:30:00, 09:30:00,0,Yes, 06:45:00, 06:45:00, 07:00:00, 07:00:00,0,No, 06:45:00, 06:45:00, 07:00:00, 06:45:00,0,Yes,5,longer,Yes,35,longer,Yes,30,less than a month,No,5,longer,Yes,0,longer,No,No,Yes,No,No,Yes,No,No,No,No,Rarely or never,No,20-29
89,2025-05-28 14:17:31,13,en,1226533647,2025-05-28 14:10:35,2025-05-28 14:17:31,60,Signal,1,5,No,No,Yes,No,I only respond when someone messages me,Occasionally,"Yes, frequently", 09:00:00, 13:30:00, 18:15:00, 20:45:00,0,No, 15:15:00, 12:15:00, 16:30:00, 09:45:00,0,No, 07:15:00, 16:45:00, 18:15:00, 22:00:00,0,No, 11:15:00, 11:15:00, 16:15:00, 16:30:00,0,No, 08:15:00, 09:15:00, 16:15:00, 13:15:00,0,No,10,less than two years,No,10,less than six months,Yes,20,longer,No,,less than three months,No,25,less than three weeks,No,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,Yes,20-29
91,2025-05-28 15:55:31,13,en,1634837711,2025-05-28 15:48:08,2025-05-28 15:55:31,20,Signal,2,4,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Occasionally,"Yes, frequently", 12:45:00, 13:45:00, 17:15:00, 17:30:00,3,No, 13:00:00, 13:30:00, 15:30:00, 16:30:00,1,No, 15:30:00, 16:00:00, 17:00:00, 17:30:00,2,No, 14:45:00, 15:30:00, 16:45:00, 17:30:00,1,No, 13:45:00, 14:45:00, 15:45:00, 16:00:00,,No,2,less than two years,No,2,less than a year,No,2,less than six months,No,2,less than three weeks,No,2,less than two weeks,No,Yes,No,No,No,Yes,No,No,No,No,Every few months,Yes,20-29
93,,0,en,2051318182,2025-05-28 16:53:37,2025-05-28 16:55:12,12,Whatsapp,1,8,No,No,No,No,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
95,,1,en,1810282347,2025-05-28 20:03:13,2025-05-28 20:04:35,60,Whatsapp,4,4,No,Yes,No,No,I only respond when someone messages me,Never,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
102,,2,en,1477545629,2025-05-29 19:19:20,2025-05-29 19:32:11,260,Whatsapp,4,25,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Never,"Yes, frequently", 07:30:00, 09:00:00, 20:15:00, 19:00:00,0,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
103,2025-05-29 22:28:17,13,en,260082494,2025-05-29 22:12:33,2025-05-29 22:28:17,440,Signal,15,34,Yes,Yes,Yes,No,I'm messaging someone almost constantly throughout the day,Occasionally,"Yes, frequently", 08:45:00, 08:45:00, 23:45:00, 00:00:00,0,Yes, 08:45:00, 08:30:00, 08:45:00, 09:00:00,0,Yes, 14:30:00, 00:00:00, 14:30:00, 00:00:00,0,No, 23:30:00, 21:00:00, 23:30:00, 23:30:00,1,No, 08:00:00, 08:00:00, 17:30:00, 16:30:00,0,No,65,longer,No,10,less than three months,No,5,less than three months,No,10,longer,Yes,5,longer,No,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,Yes,30-39
104,2025-05-30 10:09:17,13,en,1728099912,2025-05-30 10:00:54,2025-05-30 10:09:17,400,Whatsapp,7,24,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Never,Rarely, 07:45:00, 08:15:00, 20:30:00, 19:15:00,0,N/A, 10:15:00, 10:30:00, 10:00:00,,0,No, 22:45:00, 10:45:00, 22:45:00, 23:00:00,0,Yes, 15:15:00, 15:45:00, 15:45:00, 19:15:00,0,No,,,,,,N/A,30,longer,Yes,15,longer,Yes,5,longer,Yes,80,longer,Yes,5,longer,Yes,No,Yes,No,No,Yes,No,No,No,No,Rarely or never,No,20-29
106,2025-05-30 16:22:10,13,en,1328810273,2025-05-30 16:16:41,2025-05-30 16:22:10,20,Signal,1,1,No,Yes,Yes,No,I only respond when someone messages me,Rarely,Occasionally,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,No,Yes,No,No,Yes,No,No,No,No,Rarely or never,Yes,20-29
107,,,en,390725556,2025-05-30 16:19:31,2025-05-30 16:19:31,,,,,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
108,2025-06-01 16:17:05,13,en,1230010313,2025-06-01 16:08:09,2025-06-01 16:17:05,180,Whatsapp,0,11,No,Yes,Yes,Yes,I only respond when someone messages me,Rarely,Never,,,,,0,N/A,,,,,0,N/A,,,,,0,N/A,,,,,,N/A,,,,,,N/A,155,less than two years,Yes,5,longer,No,30,longer,Yes,25,longer,No,20,less than six months,Yes,No,No,Yes,No,No,No,No,No,Yes,Rarely or never,No,20-29
109,,2,en,356008085,2025-06-01 19:38:30,2025-06-01 19:39:59,100,Whatsapp,5,5,Yes,No,No,No,I only respond when someone messages me,"Yes, frequently","Yes, frequently", 07:00:00, 07:00:00, 20:45:00, 20:45:00,10,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
110,,1,en,690275725,2025-06-02 00:42:13,2025-06-02 00:44:06,400,Whatsapp,35,8,Yes,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,Occasionally,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
111,,,en,1546415046,2025-06-03 16:09:35,2025-06-03 16:09:35,,,,,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
112,,1,en,123836106,2025-06-04 16:28:26,2025-06-04 16:29:35,620,Other,4,7,No,No,Yes,No,I check in a few times a day and reply to messages in batches,Never,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
113,,1,en,226696269,2025-06-04 18:48:54,2025-06-04 18:50:25,100,Whatsapp,3,8,No,No,Yes,No,I check in a few times a day and reply to messages in batches,Occasionally,Occasionally,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
