tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped
259,49907,49907,49907,18526592,0,9578,0,0,9578,0
260,49910,49910,49910,18824064,0,9877,0,0,9877,0
261,49911,49911,49911,18050816,0,9376,0,0,9376,0
262,49914,49914,49914,17953152,0,9303,0,0,9303,0
263,49914,49914,49914,18451328,0,9576,0,0,9576,0
264,49919,49919,49919,17820544,0,9201,0,0,9201,0
265,49921,49921,49921,18004224,0,9331,0,0,9331,0
266,49925,49925,49925,17592064,0,9139,0,0,9139,0
267,49927,49927,49927,17674496,0,9163,0,0,9163,0
268,49929,49929,49929,18350080,0,9481,0,0,9481,0
269,49929,49929,49929,17851008,0,9252,0,0,9252,0
270,49930,49930,49930,18420864,0,9566,0,0,9566,0
271,49932,49932,49932,17571456,0,9099,0,0,9099,0
272,49936,49936,49936,17280256,0,9002,0,0,9002,0
273,49937,49937,49937,17756928,0,9205,0,0,9205,0
274,49939,49939,49939,17990784,0,9385,0,0,9385,0
275,49940,49940,49940,17556224,0,8963,0,0,8963,0
276,49940,49940,49940,18035584,0,9376,0,0,9376,0
277,49941,49941,49941,17148544,0,8933,0,0,8933,0
278,49943,49943,49943,17481856,0,9181,0,0,9181,0
279,49944,49944,49944,17345664,0,8956,0,0,8956,0
280,49945,49945,49945,16887808,0,8775,0,0,8775,0
281,49946,49946,49946,17564288,0,9066,0,0,9066,0
282,49948,49948,49948,16840320,0,8772,0,0,8772,0
283,49950,49950,49950,17322368,0,8981,0,0,8981,0
284,49952,49952,49952,16424576,0,8398,0,0,8398,0
285,49954,49954,49954,17179008,0,8928,0,0,8928,0
286,49954,49954,49954,17216640,0,8964,0,0,8964,0
287,49954,49954,49954,15609216,0,8211,0,0,8211,0
