users,wall_s,total_deliveries,total_sends,groups
500,0.3971242904663086,244,,2000
1000,0.4151012897491455,294,,4000
2000,0.491330623626709,731,,8000
5000,0.6649892330169678,1733,,20000
8000,0.7097344398498535,2795,,20000
12000,0.8701694011688232,4484,,20000
