tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,4480,0,0,0,0,0,0,727,8000
1,0,0,0,37632,0,0,0,0,0,0,796,8000
2,0,0,0,34048,0,0,0,0,0,0,695,8000
3,0,0,0,26880,0,0,0,0,0,0,599,8000
4,0,0,0,11648,0,0,0,0,0,0,737,8000
5,0,0,0,37632,0,0,0,0,0,0,635,8000
6,0,0,0,11648,0,0,0,0,0,0,663,8000
7,0,0,0,9856,0,0,0,0,0,0,536,8000
8,0,0,0,5376,0,0,0,0,0,0,617,8000
9,0,0,0,23296,0,0,0,0,0,0,651,8000
10,0,0,0,17024,0,0,0,0,0,0,617,8000
11,0,0,0,15232,0,0,0,0,0,0,520,8000
12,0,0,0,4480,0,0,0,0,0,0,628,10
13,0,0,0,23296,0,0,0,0,0,0,483,40
14,0,0,0,15232,0,0,0,0,0,0,515,64
15,0,0,0,44800,0,0,0,0,0,0,534,117
16,0,0,0,17024,0,0,0,0,0,0,546,139
17,0,0,0,16128,0,0,0,0,0,0,467,160
18,0,0,0,11648,0,0,0,0,0,0,605,166
19,0,0,0,16128,0,0,0,0,0,0,535,185
20,0,0,0,896,0,0,0,0,0,0,454,187
21,0,0,0,8064,0,0,0,0,0,0,427,198
22,0,0,0,11648,0,0,0,0,0,0,415,213
23,0,0,0,12544,0,0,0,0,0,0,657,230
24,0,0,0,11648,0,0,0,0,0,0,468,15
25,0,0,0,9856,0,0,0,0,0,0,439,30
26,0,0,0,31360,0,0,0,0,0,0,463,69
27,0,0,0,13440,0,0,0,0,0,0,410,90
28,0,0,0,7168,0,0,0,0,0,0,521,106
29,0,0,0,23296,0,0,0,0,0,0,476,133
30,0,0,0,19712,0,0,0,0,0,0,501,156
31,0,0,0,3584,0,0,0,0,0,0,445,161
32,0,0,0,14336,0,0,0,0,0,0,665,173
33,0,0,0,8064,0,0,0,0,0,0,356,183
34,0,0,0,11648,0,0,0,0,0,0,591,199
35,0,0,0,25984,0,0,0,0,0,0,521,228
36,2,2,2,18816,0,2,0,0,2,0,581,28
37,3,3,3,8960,0,1,0,0,1,0,469,39
38,3,3,3,6272,0,0,0,0,0,0,481,53
39,3,3,3,16128,0,0,0,0,0,0,655,73
40,3,3,3,9856,0,0,0,0,0,0,567,86
41,4,4,4,19712,0,1,0,0,1,0,603,112
42,7,7,7,33152,0,3,0,0,3,0,559,151
43,7,7,7,23296,0,0,0,0,0,0,691,183
44,7,7,7,3584,0,0,0,0,0,0,578,190
45,7,7,7,12544,0,0,0,0,0,0,839,194
46,9,9,9,13440,0,2,0,0,2,0,626,211
47,11,11,11,19712,0,2,0,0,2,0,762,237
48,12,12,12,17920,0,1,0,0,1,0,677,25
49,12,12,12,7168,0,0,0,0,0,0,761,41
50,26,26,26,58240,0,14,0,0,14,0,852,102
51,29,29,29,35840,0,3,0,0,3,0,805,139
52,29,29,29,8960,0,1,0,0,1,0,873,155
53,30,30,30,2688,0,1,0,0,1,0,687,160
54,32,32,32,25088,0,3,0,0,3,0,713,188
55,32,32,32,17024,0,0,0,0,0,0,845,209
56,33,33,33,17024,0,1,0,0,1,0,964,230
57,34,34,34,18816,0,1,0,0,1,0,969,256
58,36,36,36,16128,0,2,0,0,2,0,869,279
59,37,37,37,37632,0,10,0,0,10,0,1071,296
60,38,38,38,27776,0,1,0,0,1,0,896,35
61,39,39,39,8064,0,1,0,0,1,0,1030,52
62,39,39,39,8960,0,0,0,0,0,0,1142,71
63,41,41,41,15232,0,3,0,0,3,0,983,90
64,41,41,41,22400,0,1,0,0,1,0,1041,119
65,43,43,43,8960,0,2,0,0,2,0,1229,137
66,46,46,46,60928,0,4,0,0,4,0,1197,206
67,48,48,48,31360,0,3,0,0,3,0,1242,244
68,59,59,59,30464,0,11,0,0,11,0,1366,284
69,60,60,60,23296,0,1,0,0,1,0,1229,318
70,60,60,60,75264,0,1,0,0,1,0,1253,390
71,63,63,63,67200,0,3,0,0,3,0,1371,462
