adoption,p_g=0.005,p_g=0.02,p_g=0.05
0.05,44722.0,36531.0,32840.0
0.1,52812.0,31811.5,29688.5
0.2,37363.0,28903.0,27967.5
0.3,32640.0,30223.0,27416.0
0.6,29670.5,27362.5,27327.0
