tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,11648,0,0,0,0,0,0,938,12000
1,0,0,0,2688,0,0,0,0,0,0,787,12000
2,0,0,0,896,0,0,0,0,0,0,833,12000
3,0,0,0,896,0,0,0,0,0,0,961,12000
4,0,0,0,11648,0,0,0,0,0,0,884,12000
5,0,0,0,16128,0,0,0,0,0,0,791,12000
6,0,0,0,2688,0,0,0,0,0,0,864,12000
7,0,0,0,1792,0,0,0,0,0,0,796,12000
8,0,0,0,1792,0,0,0,0,0,0,710,12000
9,0,0,0,896,0,0,0,0,0,0,762,12000
10,0,0,0,896,0,0,0,0,0,0,680,12000
11,0,0,0,896,0,0,0,0,0,0,672,12000
12,0,0,0,1792,0,0,0,0,0,0,675,4
13,0,0,0,9856,0,0,0,0,0,0,708,15
14,0,0,0,1792,0,0,0,0,0,0,675,19
15,0,0,0,1792,0,0,0,0,0,0,678,22
16,0,0,0,28672,0,0,0,0,0,0,743,56
17,0,0,0,3584,0,0,0,0,0,0,721,64
18,0,0,0,11648,0,0,0,0,0,0,804,78
19,0,0,0,12544,0,0,0,0,0,0,673,93
20,0,0,0,16128,0,0,0,0,0,0,774,112
21,0,0,0,2688,0,0,0,0,0,0,665,118
22,0,0,0,1792,0,0,0,0,0,0,626,122
23,0,0,0,0,0,0,0,0,0,0,656,122
24,0,0,0,8064,0,0,0,0,0,0,599,10
25,0,0,0,8064,0,0,0,0,0,0,625,19
26,0,0,0,12544,0,0,0,0,0,0,790,35
27,0,0,0,5376,0,0,0,0,0,0,612,47
28,0,0,0,1792,0,0,0,0,0,0,660,51
29,0,0,0,6272,0,0,0,0,0,0,762,65
30,0,0,0,2688,0,0,0,0,0,0,798,71
31,0,0,0,896,0,0,0,0,0,0,704,73
32,0,0,0,30464,0,0,0,0,0,0,757,108
33,0,0,0,896,0,0,0,0,0,0,701,109
34,0,0,0,27776,0,0,0,0,0,0,811,140
35,0,0,0,3584,0,0,0,0,0,0,747,147
36,1,1,1,1792,0,1,0,0,1,0,756,3
37,1,1,1,1792,0,0,0,0,0,0,870,7
38,1,1,1,2688,0,0,0,0,0,0,829,13
39,3,3,3,24192,0,2,0,0,2,0,797,44
40,4,4,4,1792,0,1,0,0,1,0,789,47
41,4,4,4,896,0,0,0,0,0,0,883,49
42,5,5,5,2688,0,1,0,0,1,0,766,54
43,5,5,5,896,0,0,0,0,0,0,855,56
44,5,5,5,896,0,0,0,0,0,0,826,58
45,5,5,5,896,0,0,0,0,0,0,1023,59
46,8,8,8,27776,0,3,0,0,3,0,809,91
47,8,8,8,20608,0,0,0,0,0,0,992,114
48,8,8,8,0,0,0,0,0,0,0,925,0
49,8,8,8,10752,0,0,0,0,0,0,1001,17
50,9,9,9,6272,0,1,0,0,1,0,843,30
51,9,9,9,14336,0,0,0,0,0,0,910,49
52,11,11,11,16128,0,2,0,0,2,0,1156,65
53,11,11,11,896,0,0,0,0,0,0,1043,67
54,12,12,12,25088,0,1,0,0,1,0,1156,98
55,14,14,14,17024,0,2,0,0,2,0,1103,116
56,14,14,14,896,0,0,0,0,0,0,1185,118
57,16,16,16,17024,0,2,0,0,2,0,1218,140
58,17,17,17,10752,0,1,0,0,1,0,1143,154
59,19,19,19,29568,0,2,0,0,2,0,1324,186
60,19,19,19,896,0,0,0,0,0,0,1231,2
61,20,20,20,21504,0,1,0,0,1,0,1215,30
62,20,20,20,1792,0,0,0,0,0,0,1267,34
63,22,22,22,4480,0,2,0,0,2,0,1365,42
64,23,23,23,4480,0,1,0,0,1,0,1461,51
65,23,23,23,1792,0,0,0,0,0,0,1393,55
66,23,23,23,8064,0,0,0,0,0,0,1661,65
67,24,24,24,13440,0,1,0,0,1,0,1345,85
68,24,24,24,4480,0,0,0,0,0,0,1547,94
69,24,24,24,2688,0,0,0,0,0,0,1599,100
70,26,26,26,20608,0,2,0,0,2,0,1487,122
71,26,26,26,8064,0,0,0,0,0,0,1689,138
