tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,9856,0,0,0,0,0,0,877,12000
1,0,0,0,0,0,0,0,0,0,0,995,12000
2,0,0,0,8960,0,0,0,0,0,0,864,12000
3,0,0,0,1792,0,0,0,0,0,0,911,12000
4,0,0,0,0,0,0,0,0,0,0,893,12000
5,0,0,0,896,0,0,0,0,0,0,821,12000
6,0,0,0,896,0,0,0,0,0,0,777,12000
7,0,0,0,0,0,0,0,0,0,0,857,12000
8,0,0,0,0,0,0,0,0,0,0,691,12000
9,0,0,0,5376,0,0,0,0,0,0,808,12000
10,0,0,0,896,0,0,0,0,0,0,618,12000
11,0,0,0,1792,0,0,0,0,0,0,707,12000
12,0,0,0,896,0,0,0,0,0,0,644,2
13,0,0,0,0,0,0,0,0,0,0,781,2
14,0,0,0,0,0,0,0,0,0,0,712,2
15,0,0,0,0,0,0,0,0,0,0,590,2
16,0,0,0,896,0,0,0,0,0,0,677,4
17,0,0,0,0,0,0,0,0,0,0,783,4
18,0,0,0,0,0,0,0,0,0,0,667,4
19,0,0,0,0,0,0,0,0,0,0,767,4
20,0,0,0,0,0,0,0,0,0,0,775,4
21,0,0,0,0,0,0,0,0,0,0,638,4
22,0,0,0,0,0,0,0,0,0,0,637,4
23,0,0,0,0,0,0,0,0,0,0,659,4
24,0,0,0,0,0,0,0,0,0,0,638,0
25,0,0,0,14336,0,0,0,0,0,0,667,16
26,0,0,0,896,0,0,0,0,0,0,679,18
27,0,0,0,0,0,0,0,0,0,0,538,18
28,0,0,0,0,0,0,0,0,0,0,567,18
29,0,0,0,0,0,0,0,0,0,0,661,18
30,0,0,0,0,0,0,0,0,0,0,687,18
31,0,0,0,0,0,0,0,0,0,0,546,18
32,0,0,0,0,0,0,0,0,0,0,683,18
33,0,0,0,0,0,0,0,0,0,0,690,18
34,0,0,0,0,0,0,0,0,0,0,698,18
35,0,0,0,0,0,0,0,0,0,0,703,18
36,0,0,0,0,0,0,0,0,0,0,738,0
37,0,0,0,0,0,0,0,0,0,0,650,0
38,0,0,0,0,0,0,0,0,0,0,696,0
39,0,0,0,896,0,0,0,0,0,0,750,2
40,0,0,0,0,0,0,0,0,0,0,754,2
41,0,0,0,896,0,0,0,0,0,0,716,4
42,0,0,0,1792,0,0,0,0,0,0,937,8
43,0,0,0,896,0,0,0,0,0,0,847,10
44,0,0,0,896,0,0,0,0,0,0,939,12
45,0,0,0,1792,0,0,0,0,0,0,842,16
46,0,0,0,0,0,0,0,0,0,0,870,16
47,0,0,0,896,0,0,0,0,0,0,1079,18
48,0,0,0,0,0,0,0,0,0,0,1031,0
49,0,0,0,896,0,0,0,0,0,0,924,2
50,0,0,0,9856,0,0,0,0,0,0,1097,13
51,0,0,0,896,0,0,0,0,0,0,858,15
52,0,0,0,896,0,0,0,0,0,0,1062,17
53,0,0,0,1792,0,0,0,0,0,0,1170,21
54,0,0,0,0,0,0,0,0,0,0,1185,21
55,0,0,0,0,0,0,0,0,0,0,1280,21
56,0,0,0,1792,0,0,0,0,0,0,1167,25
57,0,0,0,0,0,0,0,0,0,0,1242,25
58,0,0,0,896,0,0,0,0,0,0,1157,27
59,0,0,0,0,0,0,0,0,0,0,1196,27
60,0,0,0,0,0,0,0,0,0,0,1366,0
61,0,0,0,0,0,0,0,0,0,0,1380,0
62,0,0,0,896,0,0,0,0,0,0,1603,2
63,0,0,0,896,0,0,0,0,0,0,1437,4
64,0,0,0,896,0,0,0,0,0,0,1422,6
65,2,2,2,15232,0,2,0,0,2,0,1566,21
66,2,2,2,0,0,0,0,0,0,0,1537,21
67,2,2,2,0,0,0,0,0,0,0,1817,21
68,2,2,2,0,0,0,0,0,0,0,1811,21
69,2,2,2,1792,0,0,0,0,0,0,1668,25
70,2,2,2,0,0,0,0,0,0,0,1829,25
71,2,2,2,0,0,0,0,0,0,0,1548,25
