users,adoption_fixed,msg_rate_group,avg_group_size,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.1,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8677225112915039,0.0,0.0,0.4666666666666667,65.0,65.0,,,,,11671.0,,,0.43807458671987903,0.43807458671987903,0.9333333333333333,0.9333333333333333
12000,0.1,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8867366313934326,0.0,0.0,0.3333333333333333,130.0,130.0,,,,,23078.0,,,0.4796306352360145,0.4796306352360145,0.3333333333333333,0.3333333333333333
12000,0.1,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9335672855377197,0.0,0.0,0.6666666666666666,125.0,125.0,,,,,62690.0,,,0.44014841890398604,0.44014841890398604,1.0,1.0
12000,0.1,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9548859596252441,0.0,0.0,0.6666666666666666,60.0,60.0,,,,,87272.0,,,0.4070796002487844,0.4070796002487844,7.8,7.8
12000,0.1,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9515025615692139,0.0,0.0,0.5333333333333333,102.5,102.5,,,,,25051.0,,,0.517542446585822,0.517542446585822,1.0,1.0
12000,0.1,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9791641235351562,0.0,0.0,0.8666666666666667,70.0,70.0,,,,,83036.0,,,0.5491758573999616,0.5491758573999616,3.066666666666667,3.066666666666667
12000,0.1,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0499813556671143,0.0,0.0,0.9333333333333333,82.5,82.5,,,,,172449.0,,,0.5051443188190264,0.5051443188190264,12.733333333333333,12.733333333333333
12000,0.1,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9575622081756592,0.0,0.0,0.6666666666666666,65.0,65.0,,,,,30519.5,,,0.4210893126904472,0.4210893126904472,1.6666666666666667,1.6666666666666667
12000,0.1,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0339524745941162,0.0,0.0,1.0,70.0,70.0,,,,,152352.0,,,0.44318276325990413,0.44318276325990413,16.4,16.4
12000,0.1,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1373488903045654,0.0,0.0,0.8666666666666667,20.0,20.0,,,,,245556.0,,,0.47628819383949433,0.47628819383949433,8.0,8.0
