users,adoption,msg_rate_group,avg_group_size,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.1,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8768167495727539,0.0,0.0,0.26666666666666666,115.0,115.0,,,,,15215.5,,,0.4441141363727095,0.4441141363727095,0.3333333333333333,0.3333333333333333
12000,0.1,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9033980369567871,0.0,0.0,0.4666666666666667,80.0,80.0,,,,,17667.0,,,0.45976749751379686,0.45976749751379686,1.6,1.6
12000,0.1,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9071099758148193,0.0,0.0,0.4,40.0,40.0,,,,,40880.5,,,0.3292203262258147,0.3292203262258147,3.0,3.0
12000,0.1,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9474914073944092,0.0,0.0,0.8666666666666667,75.0,75.0,,,,,91676.0,,,0.5790593715110272,0.5790593715110272,4.0,4.0
12000,0.1,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9170103073120117,0.0,0.0,0.4,77.5,77.5,,,,,22308.5,,,0.44386012848682527,0.44386012848682527,0.5333333333333333,0.5333333333333333
12000,0.1,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9796414375305176,0.0,0.0,0.7333333333333333,75.0,75.0,,,,,85512.0,,,0.2968476465194559,0.2968476465194559,2.1333333333333333,2.1333333333333333
12000,0.1,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0117416381835938,0.0,0.0,0.6666666666666666,70.0,70.0,,,,,172375.5,,,0.4222643427799267,0.4222643427799267,24.866666666666667,24.866666666666667
12000,0.1,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.94866943359375,0.0,0.0,0.7333333333333333,55.0,55.0,,,,,29330.0,,,0.4852477476948151,0.4852477476948151,1.0666666666666667,1.0666666666666667
12000,0.1,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.025481939315796,0.0,0.0,0.7333333333333333,45.0,45.0,,,,,138413.0,,,0.3630720385678738,0.3630720385678738,7.2,7.2
12000,0.1,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1217615604400635,0.0,0.0,0.8666666666666667,55.0,55.0,,,,,297877.0,,,0.48679641322184586,0.48679641322184586,16.2,16.2
12000,0.1,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9864110946655273,0.0,0.0,0.8,30.0,30.0,,,,,31632.5,,,0.49473737168859155,0.49473737168859155,2.7333333333333334,2.7333333333333334
12000,0.1,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1245245933532715,0.0,0.0,0.9333333333333333,37.5,37.5,,,,,195493.0,,,0.3725095563357794,0.3725095563357794,16.466666666666665,16.466666666666665
12000,0.1,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.2557799816131592,0.0,0.0,1.0,40.0,40.0,,,,,420634.0,,,0.5202444116004089,0.5202444116004089,27.0,27.0
12000,0.1,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.032884120941162,0.0,0.0,0.6666666666666666,97.5,97.5,,,,,57136.5,,,0.40391100216398806,0.40391100216398806,2.8,2.8
12000,0.1,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.2245354652404785,0.0,0.0,1.0,45.0,45.0,,,,,255645.0,,,0.4312289864301866,0.4312289864301866,12.066666666666666,12.066666666666666
12000,0.1,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.4163033962249756,0.0,0.0,1.0,40.0,40.0,,,,,550649.0,,,0.4280822540010767,0.4280822540010767,28.666666666666668,28.666666666666668
12000,0.2,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9585757255554199,0.0,0.0,0.7333333333333333,125.0,125.0,,,,,16561.0,,,0.9279516095815553,0.9279516095815553,1.0666666666666667,1.0666666666666667
12000,0.2,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9244594573974609,0.0,0.0,0.6666666666666666,105.0,105.0,,,,,14767.5,,,0.8856434373457631,0.8856434373457631,1.0,1.0
12000,0.2,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9248924255371094,0.0,0.0,0.8,97.5,97.5,,,,,14151.0,,,0.7851178955653724,0.7851178955653724,1.3333333333333333,1.3333333333333333
12000,0.2,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9245054721832275,0.0,0.0,0.8666666666666667,85.0,85.0,,,,,18260.0,,,0.8429950168803223,0.8429950168803223,1.8,1.8
12000,0.2,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9493629932403564,0.0,0.0,0.8666666666666667,50.0,50.0,,,,,43462.0,,,0.9011000695249732,0.9011000695249732,8.2,8.2
12000,0.2,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.959552526473999,0.0,0.0,0.9333333333333333,32.5,32.5,,,,,75713.5,,,1.253523375733118,1.253523375733118,10.733333333333333,10.733333333333333
12000,0.2,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9129855632781982,0.0,0.0,0.9333333333333333,57.5,57.5,,,,,19653.0,,,0.9537128295743481,0.9537128295743481,1.9333333333333333,1.9333333333333333
12000,0.2,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.970505952835083,0.0,0.0,0.9333333333333333,57.5,57.5,,,,,79264.0,,,0.9213838471194931,0.9213838471194931,5.533333333333333,5.533333333333333
12000,0.2,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.010063648223877,0.0,0.0,0.9333333333333333,42.5,42.5,,,,,142689.0,,,1.0263686325877333,1.0263686325877333,15.733333333333333,15.733333333333333
12000,0.2,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9415886402130127,0.0,0.0,0.9333333333333333,82.5,82.5,,,,,32999.5,,,1.0433025520368315,1.0433025520368315,2.2,2.2
12000,0.2,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0365545749664307,0.0,0.0,1.0,40.0,40.0,,,,,135054.0,,,0.8605218788676363,0.8605218788676363,20.133333333333333,20.133333333333333
12000,0.2,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.104048252105713,0.0,0.0,1.0,20.0,20.0,,,,,253072.0,,,0.9790990427690058,0.9790990427690058,27.8,27.8
12000,0.2,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9504547119140625,0.0,0.0,0.9333333333333333,77.5,77.5,,,,,42582.5,,,0.8160175633887976,0.8160175633887976,4.4,4.4
12000,0.2,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0842130184173584,0.0,0.0,1.0,10.0,10.0,,,,,163425.0,,,0.9697717511284818,0.9697717511284818,19.6,19.6
12000,0.2,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.2263984680175781,0.0,0.0,1.0,25.0,25.0,,,,,405128.0,,,0.8225088530993169,0.8225088530993169,42.86666666666667,42.86666666666667
12000,0.2,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.990027904510498,0.0,0.0,0.9333333333333333,57.5,57.5,,,,,46607.0,,,0.9642284275946679,0.9642284275946679,6.0,6.0
12000,0.2,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1701147556304932,0.0,0.0,1.0,25.0,25.0,,,,,228739.0,,,0.8212901307456761,0.8212901307456761,27.466666666666665,27.466666666666665
12000,0.2,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.3613719940185547,0.0,0.0,1.0,15.0,15.0,,,,,488740.0,,,0.8551630595784917,0.8551630595784917,57.733333333333334,57.733333333333334
