tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,3584,0,0,0,0,0,0,1014,12000
1,0,0,0,4480,0,0,0,0,0,0,896,12000
2,0,0,0,2688,0,0,0,0,0,0,841,12000
3,0,0,0,11648,0,0,0,0,0,0,804,12000
4,0,0,0,9856,0,0,0,0,0,0,861,12000
5,0,0,0,22400,0,0,0,0,0,0,818,12000
6,0,0,0,3584,0,0,0,0,0,0,804,12000
7,0,0,0,2688,0,0,0,0,0,0,866,12000
8,0,0,0,6272,0,0,0,0,0,0,849,12000
9,0,0,0,2688,0,0,0,0,0,0,752,12000
10,0,0,0,2688,0,0,0,0,0,0,877,12000
11,0,0,0,12544,0,0,0,0,0,0,841,12000
12,0,0,0,9856,0,0,0,0,0,0,723,13
13,0,0,0,1792,0,0,0,0,0,0,745,17
14,0,0,0,31360,0,0,0,0,0,0,881,57
15,0,0,0,29568,0,0,0,0,0,0,657,96
16,0,0,0,16128,0,0,0,0,0,0,640,116
17,0,0,0,4480,0,0,0,0,0,0,703,126
18,0,0,0,10752,0,0,0,0,0,0,565,140
19,0,0,0,5376,0,0,0,0,0,0,658,152
20,0,0,0,1792,0,0,0,0,0,0,608,155
21,0,0,0,1792,0,0,0,0,0,0,664,158
22,0,0,0,896,0,0,0,0,0,0,733,160
23,0,0,0,4480,0,0,0,0,0,0,516,169
24,0,0,0,17920,0,0,0,0,0,0,675,23
25,0,0,0,4480,0,0,0,0,0,0,841,33
26,0,0,0,13440,0,0,0,0,0,0,585,49
27,0,0,0,9856,0,0,0,0,0,0,536,63
28,0,0,0,14336,0,0,0,0,0,0,640,87
29,0,0,0,12544,0,0,0,0,0,0,630,106
30,0,0,0,13440,0,0,0,0,0,0,810,125
31,0,0,0,17920,0,0,0,0,0,0,732,154
32,0,0,0,25088,0,0,0,0,0,0,623,185
33,0,0,0,22400,0,0,0,0,0,0,662,217
34,0,0,0,5376,0,0,0,0,0,0,794,228
35,0,0,0,24192,0,0,0,0,0,0,714,261
36,0,0,0,12544,0,0,0,0,0,0,538,17
37,0,0,0,29568,0,0,0,0,0,0,673,51
38,0,0,0,896,0,0,0,0,0,0,716,53
39,2,2,2,5376,0,2,0,0,2,0,844,63
40,3,3,3,24192,0,1,0,0,1,0,800,91
41,4,4,4,25984,0,1,0,0,1,0,912,125
42,6,6,6,8064,0,2,0,0,2,0,1011,133
43,6,6,6,4480,0,0,0,0,0,0,888,143
44,7,7,7,6272,0,1,0,0,1,0,804,154
45,9,9,9,13440,0,2,0,0,2,0,940,172
46,11,11,11,1792,0,2,0,0,2,0,982,174
47,13,13,13,27776,0,2,0,0,2,0,875,214
48,14,14,14,9856,0,1,0,0,1,0,1021,14
49,14,14,14,17024,0,0,0,0,0,0,909,42
50,15,15,15,6272,0,1,0,0,1,0,866,55
51,15,15,15,8960,0,0,0,0,0,0,1024,67
52,17,17,17,31360,0,2,0,0,2,0,1147,104
53,19,19,19,17024,0,2,0,0,2,0,1080,126
54,19,19,19,30464,0,0,0,0,0,0,1056,164
55,24,24,24,29568,0,5,0,0,5,0,1112,196
56,25,25,25,34944,0,1,0,0,1,0,1103,239
57,26,26,26,17024,0,1,0,0,1,0,1279,264
58,27,27,27,24192,0,1,0,0,1,0,1205,285
59,29,29,29,24192,0,2,0,0,2,0,1073,318
60,30,30,30,31360,0,3,0,0,3,0,1195,43
61,30,30,30,31360,0,0,0,0,0,0,1305,87
62,31,31,31,25984,0,1,0,0,1,0,1254,126
63,32,32,32,3584,0,1,0,0,1,0,1300,133
64,32,32,32,6272,0,0,0,0,0,0,1488,147
65,32,32,32,20608,0,0,0,0,0,0,1487,177
66,41,41,41,12544,0,9,0,0,9,0,1510,192
67,44,44,44,28672,0,3,0,0,3,0,1657,238
68,44,44,44,8960,0,0,0,0,0,0,1751,258
69,45,45,45,26880,0,1,0,0,1,0,1532,281
70,48,48,48,20608,0,3,0,0,3,0,1640,310
71,49,49,49,8960,0,1,0,0,1,0,1772,327
